Date,C1,C2,C3,C4,C5,SB,#Sorteo
05 de Abril de 2025,01,07,22,40,41,03,2.491
02 de Abril de 2025,18,25,40,41,43,13,2.490
29 de Marzo de 2025,03,09,27,36,37,01,2.489
26 de Marzo de 2025,03,09,21,27,39,03,2.488
22 de Marzo de 2025,08,12,22,26,28,01,2.487
19 de Marzo de 2025,01,18,27,40,43,01,2.486
15 de Marzo de 2025,17,21,25,26,39,15,2.485
12 de Marzo de 2025,09,16,32,33,40,12,2.484
08 de Marzo de 2025,01,17,33,42,43,12,2.483
05 de Marzo de 2025,11,17,18,26,42,13,2.482
01 de Marzo de 2025,03,04,17,21,25,04,2.481
26 de Febrero de 2025,07,28,29,33,43,02,2.480
22 de Febrero de 2025,03,13,19,34,43,12,2.479
19 de Febrero de 2025,14,21,28,30,38,14,2.478
15 de Febrero de 2025,08,15,17,24,42,11,2.477
12 de Febrero de 2025,01,16,30,39,41,15,2.476
08 de Febrero de 2025,02,09,10,39,43,14,2.475
05 de Febrero de 2025,05,11,14,37,38,14,2.474
01 de Febrero de 2025,02,04,05,28,33,12,2.473
29 de Enero de 2025,12,20,26,34,38,01,2.472
25 de Enero de 2025,01,16,19,25,31,06,2.471
22 de Enero de 2025,12,15,28,34,37,01,2.470
18 de Enero de 2025,14,19,30,38,41,10,2.469
15 de Enero de 2025,07,16,32,33,43,01,2.468
11 de Enero de 2025,02,28,31,32,34,06,2.467
08 de Enero de 2025,18,24,27,37,43,11,2.466
04 de Enero de 2025,10,13,18,24,26,09,2.465
01 de Enero de 2025,17,28,33,39,43,06,2.464
28 de Diciembre de 2024,01,04,12,14,34,06,2.463
25 de Diciembre de 2024,05,08,22,26,38,08,2.462
21 de Diciembre de 2024,10,12,16,21,41,13,2.461
18 de Diciembre de 2024,04,12,28,36,43,13,2.460
