Date,C1,C2,C3,C4,C5,SB,#Sorteo
05 de Abril de 2025,04,09,17,18,37,05,2.491
02 de Abril de 2025,09,13,20,23,24,10,2.490
29 de Marzo de 2025,17,25,27,28,39,03,2.489
26 de Marzo de 2025,07,13,35,37,43,02,2.488
22 de Marzo de 2025,06,10,17,21,40,16,2.487
19 de Marzo de 2025,09,15,18,28,42,11,2.486
15 de Marzo de 2025,05,10,13,31,37,16,2.485
12 de Marzo de 2025,17,20,26,27,42,01,2.484
08 de Marzo de 2025,03,05,06,33,42,04,2.483
05 de Marzo de 2025,08,14,19,37,43,06,2.482
01 de Marzo de 2025,07,21,26,32,40,12,2.481
26 de Febrero de 2025,02,08,19,21,43,09,2.480
22 de Febrero de 2025,07,12,19,33,38,08,2.479
19 de Febrero de 2025,06,08,32,35,39,03,2.478
15 de Febrero de 2025,01,13,27,35,41,10,2.477
12 de Febrero de 2025,04,05,07,25,32,04,2.476
08 de Febrero de 2025,04,10,12,27,40,09,2.475
05 de Febrero de 2025,04,07,16,18,43,02,2.474
01 de Febrero de 2025,05,06,19,32,37,16,2.473
29 de Enero de 2025,07,12,33,36,39,10,2.472
25 de Enero de 2025,10,26,37,40,42,05,2.471
22 de Enero de 2025,04,15,23,27,34,13,2.470
18 de Enero de 2025,01,06,07,20,41,02,2.469
15 de Enero de 2025,13,22,25,32,35,10,2.468
11 de Enero de 2025,09,15,23,28,39,07,2.467
08 de Enero de 2025,01,05,28,36,38,05,2.466
04 de Enero de 2025,16,34,36,37,40,12,2.465
01 de Enero de 2025,11,16,18,37,40,16,2.464
28 de Diciembre de 2024,02,04,22,24,32,10,2.463
25 de Diciembre de 2024,04,19,28,32,39,13,2.462
21 de Diciembre de 2024,11,13,27,28,43,15,2.461
18 de Diciembre de 2024,09,10,15,26,28,02,2.460
